Reference Designators,,,,Value,LCSC Part #,Datasheet,,,,,,,
Q3,1,MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor,,,C7603347,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2309061012_TECH-PUBLIC-SI1308EDL_C7603347.pdf,,,,,,,
R_PWR_EPD,,,,,,,,,,,,,
R_TYPE_SEL,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,CPF0201D7K68C1_0201,2.2,C25054,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0201WMJ010JTEE_C25054.pdf,,,Top,,,,
R1_EP_ED,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,CPF0201D7K68C1_0201,0.47,C25054,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0201WMJ010JTEE_C25054.pdf,,,Top,,,,
R1_USB,,,,,,,,,,,,,
R2,,,,,,,,,,,,,
R3,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,R0201,0,C25054,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0201WMJ010JTEE_C25054.pdf,,,Top,,,,
R5,,,,,,,,,,,,,
R9,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,R0201,10K,C100126,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_LIZ-Elec-CR0201FH1002G_C100126.pdf,,,Top,,,,
R17,,,,,,,,,,,,,
SJ1,1,SMD solder JUMPER,JUMPER_SJ,N.C,C2940092,,,,Top,,,,
SW_DN,,,,,,,,,,,,,
TP_3.3V,,,,,,,,,,, TP_SWO, TP_VBAT, TP_VREG;14;Test pad;HECTOR_WATCH_1_TP20R;HECTOR_WATCH_1_TPTP20R;;;;;Top;
U1,1,nRF52840,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N,NRF52840_QF,C190794,https://www.lcsc.com/datasheet/C190794.pdf,,,Top,,,,
U3,1,Fuel Gauge MAX17048,SON50P200X200X80-9N,MAX17048G+T10,C2682616,https://www.lcsc.com/datasheet/C2682616.pdf,,,Top,,,,
X1,1,Crystal 32MHz,NORDIC_NRF_BT-XTAL_2016_N,32MHz,C5441424,,,,Top,,,,
X2,1,Crystal 32.768kHz,NORDIC_NRF_1_XTAL_3215_N,32.768kHz,C70509,https://www.lcsc.com/datasheet/C70509.pdf,,,Top,,,,
