R1_USB,72.99,66.51,0.00,5K1,CPF0201D7K68C1_0201
R2,63.99,59.95,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR,60.99,56.71,90.00,10K,CPF0201D7K68C1_0201
R2_USB,69.93,66.49,180.00,5K1,CPF0201D7K68C1_0201
R3,70.19,55.63,90.00,0,ERA-1AEB3401C_0201
R4,63.29,60.81,0.00,0,CPF0201D7K68C1_0201
R5,81.29,42.95,90.00,10k,ERA-1AEB3401C_0201
R7,59.29,43.01,90.00,10k,ERA-1AEB3401C_0201
R8,70.29,42.87,90.00,10k,ERA-1AEB3401C_0201
R9,58.69,68.93,90.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,66.09,42.51,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,60.39,63.37,90.00,2.2,CPF0201D7K68C1_0201
SJ1,60.36,62.22,0.00,N.C,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,60.75,41.47,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,71.65,41.39,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,82.75,41.40,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,73.08,50.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,80.48,63.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,89.68,62.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,52.07,66.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,83.46,48.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,80.04,49.12,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,93.12,52.47,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,74.70,56.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,67.59,56.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,91.08,54.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,88.55,54.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,82.16,50.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,76.05,50.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,63.41,68.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,83.33,56.58,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,71.86,46.21,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,86.14,65.01,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,77.21,57.73,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
